Asal Sekolah,Psikotest,TPA,IPS,Status
36,104,51.8,3.074,Tidak
42,103,64.2,3.254,Tidak
42,98,51.8,3.458,Tidak
42,106,69.8,3.463,Tidak
5,109,63.4,2.472,Tidak
2,103,55.8,3.091,Tidak
5,94,51,2.032,Tidak
5,97,58.8,3.01,Tidak
62,97,64.2,3.227,Tidak
42,109,64.6,3.512,Tidak
102,109,60.8,3.414,Tidak
25,110,65,2.7,Tidak
103,113,76.2,3.379,Tidak
95,130,64.4,2.924,Tidak
42,124,65.2,3.339,Tidak
42,91,66.8,2.692,Tidak
104,110,59.8,1.89,Ya
1,103,60.6,2.636,Tidak
105,106,62.8,2.031,Tidak
59,115,57.2,2.836,Tidak
106,92,54.8,1.76,Tidak
107,84,56.6,2.083,Tidak
6,106,55.8,2.94,Tidak
3,104,48.4,3.278,Tidak
112,97,54.4,2.583,Tidak
38,105,59.2,3.083,Tidak
1,104,51,2.806,Tidak
3,110,42.8,3,Tidak
1,94,49.6,2.806,Tidak
1,100,48.2,3.111,Tidak
1,103,48.8,3.167,Tidak
1,103,50.6,1.75,Ya
1,101,42.4,2.222,Tidak
68,105,59.2,2.778,Tidak
66,92,44.2,1.861,Ya
21,109,48.2,2.833,Tidak
62,105,53,3,Tidak
38,99,49.6,2.222,Tidak
51,100,49.2,2.722,Tidak
67,100,50,2.722,Tidak
1,93,56,1.861,Tidak
3,100,50.2,3.611,Tidak
52,115,61.4,3.5,Tidak
7,96,49.6,2.833,Tidak
7,101,53.2,2.667,Tidak
25,97,56.6,1.944,Ya
7,96,54,3,Tidak
53,94,49.8,2.278,Tidak
1,99,53.8,2.222,Tidak
5,97,60,3.167,Tidak
108,103,60,3.222,Tidak
25,104,59.4,2.917,Tidak
51,101,56.6,2.444,Tidak
22,105,61,1.806,Tidak
5,103,57.4,2.111,Tidak
74,96,54.6,2.139,Tidak
70,106,54.2,3.389,Tidak
6,104,54.8,2.444,Tidak
52,98,56,2.611,Tidak
109,103,61.6,2.139,Tidak
28,106,58.8,2.306,Tidak
64,110,66.4,3.056,Tidak
1,103,52.4,2.944,Tidak
22,115,64.8,3.917,Tidak
110,99,47.4,2.861,Tidak
111,100,47,2.611,Tidak
113,92,46.8,2.056,Tidak
1,98,47.2,1.806,Tidak
114,79,50,2.361,Tidak
48,105,55.8,3.09722,Tidak
1,104,47.4,2.02,Tidak
5,107,50.8,2.38,Tidak
25,103,52,2.77,Tidak
115,109,55.4,2.73,Tidak
38,95,54,3.67,Tidak
2,105,54,2.93,Tidak
38,102,51.4,2.96,Tidak
51,92,47.2,2.34,Tidak
7,100,50.6,2.76,Tidak
116,98,48.8,2.56,Tidak
117,106,57,2.98,Tidak
38,111,51.4,3.02,Tidak
145,107,65,2.52,Tidak
144,100,52,2.27,Tidak
2,106,58.6,3.4,Tidak
10,109,44.2,3.11,Tidak
51,101,50.6,2.99,Tidak
82,114,53.2,3.45,Tidak
107,103,57.4,2.33,Tidak
80,104,69.6,3.76,Tidak
136,110,54.6,1.95,Ya
59,113,50.4,2.73,Tidak
22,113,48,3.3,Tidak
3,109,55,2.29,Tidak
143,97,55.2,2.87,Tidak
5,105,50.4,3,Tidak
50,105,54.8,2.67,Tidak
142,116,57,2.74,Tidak
141,116,65.4,3.65,Tidak
140,118,51.2,2.65,Tidak
139,103,57.2,2.61,Tidak
138,103,56,2.56,Tidak
25,108,52.8,3.09,Tidak
137,109,62.2,3.62,Tidak
7,109,65.8,2.95,Tidak
136,115,69.4,3.4,Tidak
70,114,50.2,3.34,Tidak
2,105,52.4,2.81,Tidak
59,110,57,2.8,Tidak
51,113,46.6,2.98,Tidak
64,111,53.6,3.49,Tidak
5,112,62,2.7,Tidak
105,100,53.6,3.06,Tidak
92,105,64.8,3.41,Tidak
64,106,54.4,2.32,Tidak
4,109,62.4,3.09,Tidak
3,98,49.8,3.09,Tidak
42,98,55.2,2.01,Tidak
5,106,59,3.41,Tidak
6,104,40.4,3.1,Tidak
5,108,54.8,2.78,Tidak
2,97,41.6,2.5,Tidak
68,103,53.4,3.09,Tidak
3,100,43.2,2.5,Tidak
88,109,43.4,3.38,Tidak
76,100,53.4,3.02,Tidak
7,111,47.8,2.88,Tidak
63,105,47.8,3.25,Tidak
76,96,46,2.72,Tidak
6,100,47.4,2.45,Tidak
38,97,53,2.83,Tidak
6,108,40.6,2.77,Tidak
123,103,49.4,3.08,Tidak
135,96,44.8,2.84,Tidak
49,98,34.8,2.61,Tidak
74,105,40.2,3.02,Tidak
84,106,41.6,2.89,Tidak
134,102,46,2.65,Tidak
51,96,51.2,2.49,Tidak
52,110,50.2,2.81,Tidak
25,104,49.4,2.65,Tidak
64,115,52.2,3.28,Tidak
2,119,60.6,3.37,Tidak
